method,train_set,test_set,scenario,error
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,0.4053951285057863
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,0.4053951285057863
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,0.4053951285057863
centroid,POCO#STANDING,POCO#STANDING,auto,0.6222556444685045
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,0.6222556444685045
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,0.6222556444685045
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,0.6222556444685045
centroid,POCO#STANDING,POCO#STANDING,auto,2.431480162169366
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.431480162169366
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.431480162169366
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.431480162169366
centroid,POCO#STANDING,POCO#STANDING,auto,2.3487473147936893
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.3487473147936893
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.3487473147936893
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.3487473147936893
centroid,POCO#STANDING,POCO#STANDING,auto,2.1583798687194435
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.1583798687194435
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.1583798687194435
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.1583798687194435
centroid,POCO#STANDING,POCO#STANDING,auto,1.4073548786585086
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.4073548786585086
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.4073548786585086
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.4073548786585086
centroid,POCO#STANDING,POCO#STANDING,auto,2.8276884166709366
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.8276884166709366
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.8276884166709366
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.8276884166709366
centroid,POCO#STANDING,POCO#STANDING,auto,0.6448773960110225
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,0.6448773960110225
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,0.6448773960110225
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,0.6448773960110225
centroid,POCO#STANDING,POCO#STANDING,auto,1.295181491444643
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.295181491444643
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.295181491444643
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.295181491444643
centroid,POCO#STANDING,POCO#STANDING,auto,0.8782941888270985
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,0.8782941888270985
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,0.8782941888270985
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,0.8782941888270985
centroid,POCO#STANDING,POCO#STANDING,auto,1.418182889293231
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.418182889293231
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.418182889293231
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.418182889293231
centroid,POCO#STANDING,POCO#STANDING,auto,0.645070894301739
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,0.645070894301739
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,0.645070894301739
